exp_num,algorithm,reward,efficiency,retries,failures,threshold_misses,saturation_capacity,threshold_pct,source_file
1,CEPSILONGREEDY,2414.56,87.4,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
1,CEXP4,1864.77,67.5,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
1,CPURSUIT,2491.75,90.2,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
1,CEPOCHGREEDY,1041.61,37.7,3,0,3,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
1,CTHOMPSONSAMPLING,1760.05,63.7,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
2,CEPSILONGREEDY,3659.3,88.3,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
2,CEXP4,2823.39,68.1,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
2,CPURSUIT,3576.92,86.3,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
2,CEPOCHGREEDY,1534.34,37.0,3,0,3,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
2,CTHOMPSONSAMPLING,2754.4,66.5,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
3,CEPSILONGREEDY,4840.29,87.7,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
3,CEXP4,3856.04,69.8,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
3,CPURSUIT,5043.07,91.3,0,0,0,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
3,CEPOCHGREEDY,2076.29,37.6,3,0,3,8000.0,0.5,quantum(CMABs)_exps-Default_alloc-all_envs-5_attacks-4000_2000-3_runs-S1T_20251209_log.txt
