source_file,total_time,qubit_caps,env_type,runs,allocator,scenario,scenario_cat,base_frames,frame_step,cap_type,scale,capacity,experiment,winner,frames,model,reward,regret,avg_reward,model_avg_eff,eff_pct,gap_pct,retries,failures,misses_thrs,scenario_winner,scen_winner_eff,scen_winner_reward,scen_winner_gap
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,1,iCPursuitNeuralUCB,4000,ORACLE,2755.920514,0,0.688980128,0,,,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,1,iCPursuitNeuralUCB,4000,GNEURALUCB,2420.22065,193.8772008,0.605055163,86.60382121,87.81895699,12.18104301,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,1,iCPursuitNeuralUCB,4000,EXPNEURALUCB,2022.548411,611.9019914,0.505637103,78.54103802,73.38921427,26.61078573,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,1,iCPursuitNeuralUCB,4000,CPURSUITNEURALUCB,2548.520956,5.812939015,0.637130239,89.59162903,92.47439987,7.525600128,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,1,iCPursuitNeuralUCB,4000,ICPURSUITNEURALUCB,2552.013281,2.320614059,0.63800332,89.6321096,92.60112069,7.398879313,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,2,iCPursuitNeuralUCB,6000,ORACLE,4137.329557,0,0.689554926,0,,,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,2,iCPursuitNeuralUCB,6000,GNEURALUCB,3350.018676,780.4708829,0.558336446,86.60382121,80.97055431,19.02944569,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,2,iCPursuitNeuralUCB,6000,EXPNEURALUCB,3013.164953,1093.646233,0.502194159,78.54103802,72.82873921,27.17126079,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,2,iCPursuitNeuralUCB,6000,CPURSUITNEURALUCB,3451.552463,685.2319087,0.575258744,89.59162903,83.42464421,16.57535579,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,2,iCPursuitNeuralUCB,6000,ICPURSUITNEURALUCB,3453.00188,683.4206246,0.575500313,89.6321096,83.45967689,16.54032311,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,3,CPursuitNeuralUCB,8000,ORACLE,5514.45092,0,0.689306365,0,,,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,3,CPursuitNeuralUCB,8000,GNEURALUCB,5019.360888,162.569487,0.627420111,86.60382121,91.02195233,8.978047668,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,3,CPursuitNeuralUCB,8000,EXPNEURALUCB,4930.2037,316.5293848,0.616275463,78.54103802,89.40516059,10.59483941,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,3,CPursuitNeuralUCB,8000,CPURSUITNEURALUCB,5121.592779,7.187933046,0.640199097,89.59162903,92.87584301,7.12415699,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1,8000,3,CPursuitNeuralUCB,8000,ICPURSUITNEURALUCB,5119.369805,9.410906821,0.639921226,89.6321096,92.83553122,7.164468778,0,0,0,iCPursuitNeuralUCB,89.6321096,3708.128322,10.3678904
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1,8000,1,CPursuitNeuralUCB,4000,ORACLE,2760.578963,0,0.690144741,0,,,0,0,0,CPursuitNeuralUCB,89.80880856,3721.05182,10.19119144
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1,8000,1,CPursuitNeuralUCB,4000,GNEURALUCB,2452.323422,181.8484063,0.613080855,86.69680925,88.83366332,11.16633668,0,0,0,CPursuitNeuralUCB,89.80880856,3721.05182,10.19119144
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1,8000,1,CPursuitNeuralUCB,4000,EXPNEURALUCB,2481.243622,161.9205278,0.620310905,86.56514772,89.8812769,10.1187231,0,0,0,CPursuitNeuralUCB,89.80880856,3721.05182,10.19119144
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1,8000,1,CPursuitNeuralUCB,4000,CPURSUITNEURALUCB,2594.317807,12.85664753,0.648579452,89.80880856,93.97730845,6.022691549,0,0,0,CPursuitNeuralUCB,89.80880856,3721.05182,10.19119144
MultiRunEvaluator_4000-Default_All_All-4000_2000_3_S1T.pkl,45.52025509,"(8, 10, 8, 9)",stochastic,3,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1,8000,1,CPursuitNeuralUCB,4000,ICPURSUITNEURALUCB,2229.425765,519.2109318,0.557356441,85.60864299,80.75935502,19.24064498,0,0,0,CPursuitNeuralUCB,89.80880856,3721.05182,10.19119144
